coordinate_x,coordinate_y,coordinate_z,y_probe
0.0,0.0,0.0,438.57
0.0,0.0,-100.0,435.1
43.59,0.0,-90.0,435.7
42.47,9.81,-90.0,435.87
39.18,19.11,-90.0,435.88
33.88,27.43,-90.0,435.96
26.84,34.35,-90.0,436.02
18.42,39.51,-90.0,436.12
9.06,42.64,-90.0,436.1
-0.76,43.58,-90.0,436.18
-10.55,42.3,-90.0,436.09
-19.79,38.84,-90.0,436.02
-28.02,33.39,-90.0,435.99
-34.81,26.23,-90.0,435.91
-39.82,17.73,-90.0,435.77
-42.79,8.32,-90.0,435.88
-43.56,-1.52,-90.0,435.89
-42.1,-11.28,-90.0,435.91
-38.49,-20.46,-90.0,436.08
-32.9,-28.6,-90.0,436.21
-25.62,-35.27,-90.0,436.34
-17.03,-40.12,-90.0,436.51
-7.57,-42.93,-90.0,436.54
2.28,-43.53,-90.0,436.57
12.02,-41.9,-90.0,436.46
21.13,-38.12,-90.0,436.44
29.17,-32.39,-90.0,436.25
35.71,-25.0,-90.0,436.14
40.42,-16.33,-90.0,435.99
43.05,-6.82,-90.0,435.94
60.0,0.0,-80.0,436.58
59.26,9.39,-80.0,436.5
57.06,18.54,-80.0,436.46
53.46,27.24,-80.0,436.57
48.54,35.27,-80.0,436.71
42.43,42.43,-80.0,436.79
35.27,48.54,-80.0,436.87
27.24,53.46,-80.0,437.01
18.54,57.06,-80.0,437.05
9.39,59.26,-80.0,437.15
0.0,60.0,-80.0,437.16
-9.39,59.26,-80.0,437.14
-18.54,57.06,-80.0,437.04
-27.24,53.46,-80.0,437.03
-35.27,48.54,-80.0,436.89
-42.43,42.43,-80.0,436.79
-48.54,35.27,-80.0,436.72
-53.46,27.24,-80.0,436.57
-57.06,18.54,-80.0,436.51
-59.26,9.39,-80.0,436.51
-60.0,0.0,-80.0,436.46
-59.26,-9.39,-80.0,436.59
-57.06,-18.54,-80.0,436.65
-53.46,-27.24,-80.0,436.79
-48.54,-35.27,-80.0,437.07
-42.43,-42.43,-80.0,437.22
-35.27,-48.54,-80.0,437.29
-27.24,-53.46,-80.0,437.41
-18.54,-57.06,-80.0,437.63
-9.39,-59.26,-80.0,437.63
0.0,-60.0,-80.0,437.7
9.39,-59.26,-80.0,437.66
18.54,-57.06,-80.0,437.62
27.24,-53.46,-80.0,437.52
35.27,-48.54,-80.0,437.44
42.43,-42.43,-80.0,437.3
48.54,-35.27,-80.0,437.05
53.46,-27.24,-80.0,436.94
57.06,-18.54,-80.0,436.78
59.26,-9.39,-80.0,436.68
71.41,0.0,-70.0,437.17
70.72,9.94,-70.0,437.19
68.64,19.68,-70.0,437.2
65.24,29.05,-70.0,437.25
60.56,37.84,-70.0,437.35
54.7,45.9,-70.0,437.5
47.78,53.07,-70.0,437.67
39.93,59.2,-70.0,437.78
31.3,64.18,-70.0,437.9
22.07,67.91,-70.0,437.92
12.4,70.33,-70.0,437.96
2.49,71.37,-70.0,438.08
-7.46,71.02,-70.0,438.08
-17.28,69.29,-70.0,437.97
-26.75,66.21,-70.0,437.95
-35.7,61.84,-70.0,437.84
-43.96,56.27,-70.0,437.67
-51.37,49.61,-70.0,437.57
-57.77,41.97,-70.0,437.39
-63.05,33.52,-70.0,437.27
-67.1,24.42,-70.0,437.21
-69.85,14.85,-70.0,437.11
-71.24,4.98,-70.0,437.13
-71.24,-4.98,-70.0,437.17
-69.85,-14.85,-70.0,437.26
-67.1,-24.42,-70.0,437.4
-63.05,-33.52,-70.0,437.54
-57.77,-41.97,-70.0,437.73
-51.37,-49.61,-70.0,437.94
-43.96,-56.27,-70.0,438.17
-35.71,-61.84,-70.0,438.25
-26.75,-66.21,-70.0,438.45
-17.28,-69.29,-70.0,438.55
-7.46,-71.02,-70.0,438.55
2.49,-71.37,-70.0,438.59
12.4,-70.33,-70.0,438.48
22.07,-67.91,-70.0,438.52
31.3,-64.18,-70.0,438.41
39.93,-59.2,-70.0,438.23
47.78,-53.07,-70.0,438.06
54.7,-45.9,-70.0,437.9
60.56,-37.84,-70.0,437.68
65.24,-29.05,-70.0,437.51
68.64,-19.68,-70.0,437.34
70.72,-9.94,-70.0,437.25
80.0,0.0,-60.0,437.68
79.4,9.75,-60.0,437.71
77.62,19.35,-60.0,437.69
74.69,28.67,-60.0,437.75
70.64,37.56,-60.0,437.87
65.53,45.89,-60.0,437.98
59.45,53.53,-60.0,438.21
52.48,60.38,-60.0,438.31
44.74,66.32,-60.0,438.55
36.32,71.28,-60.0,438.65
27.36,75.18,-60.0,438.76
18.0,77.95,-60.0,438.78
8.36,79.56,-60.0,438.91
-1.4,79.99,-60.0,438.92
-11.13,79.22,-60.0,438.85
-20.71,77.27,-60.0,438.83
-29.97,74.17,-60.0,438.75
-38.78,69.97,-60.0,438.61
-47.02,64.72,-60.0,438.5
-54.56,58.51,-60.0,438.31
-61.28,51.42,-60.0,438.13
-67.09,43.57,-60.0,437.99
-71.9,35.07,-60.0,437.84
-75.64,26.05,-60.0,437.72
-78.25,16.63,-60.0,437.68
-79.7,6.97,-60.0,437.71
-79.95,-2.79,-60.0,437.71
-79.02,-12.51,-60.0,437.77
-76.9,-22.05,-60.0,437.87
-73.64,-31.26,-60.0,438.03
-69.28,-40.0,-60.0,438.21
-63.89,-48.15,-60.0,438.32
-57.55,-55.57,-60.0,438.6
-50.35,-62.17,-60.0,438.77
-42.39,-67.84,-60.0,439.0
-33.81,-72.5,-60.0,439.02
-24.72,-76.08,-60.0,439.18
-15.26,-78.53,-60.0,439.31
-5.58,-79.81,-60.0,439.34
4.19,-79.89,-60.0,439.38
13.89,-78.78,-60.0,439.37
23.39,-76.5,-60.0,439.23
32.54,-73.08,-60.0,439.08
