coordinate_x,coordinate_y,coordinate_z,y_probe
0.0,0.0,0.0,438.9
0.0,0.0,-100.0,435.48
43.59,0.0,-90.0,436.04
42.47,9.81,-90.0,436.14
39.18,19.11,-90.0,436.0
33.88,27.43,-90.0,436.13
26.84,34.35,-90.0,436.11
18.42,39.51,-90.0,436.14
9.06,42.64,-90.0,436.25
-0.76,43.58,-90.0,436.34
-10.55,42.3,-90.0,436.28
-19.79,38.84,-90.0,436.24
-28.02,33.39,-90.0,436.27
-34.81,26.23,-90.0,436.19
-39.82,17.73,-90.0,436.15
-42.79,8.32,-90.0,436.16
-43.56,-1.52,-90.0,436.16
-42.1,-11.28,-90.0,436.35
-38.49,-20.46,-90.0,436.46
-32.9,-28.6,-90.0,436.58
-25.62,-35.27,-90.0,436.75
-17.03,-40.12,-90.0,436.93
-7.57,-42.93,-90.0,436.95
2.28,-43.53,-90.0,437.01
12.02,-41.9,-90.0,437.04
21.13,-38.12,-90.0,436.94
29.17,-32.39,-90.0,436.79
35.71,-25.0,-90.0,436.61
40.42,-16.33,-90.0,436.38
43.05,-6.82,-90.0,436.22
60.0,0.0,-80.0,436.84
59.26,9.39,-80.0,436.82
57.06,18.54,-80.0,436.66
53.46,27.24,-80.0,436.75
48.54,35.27,-80.0,436.79
42.43,42.43,-80.0,436.82
35.27,48.54,-80.0,436.93
27.24,53.46,-80.0,437.04
18.54,57.06,-80.0,437.16
9.39,59.26,-80.0,437.14
0.0,60.0,-80.0,437.2
-9.39,59.26,-80.0,437.16
-18.54,57.06,-80.0,437.12
-27.24,53.46,-80.0,437.07
-35.27,48.54,-80.0,436.96
-42.43,42.43,-80.0,436.88
-48.54,35.27,-80.0,436.81
-53.46,27.24,-80.0,436.77
-57.06,18.54,-80.0,436.72
-59.26,9.39,-80.0,436.77
-60.0,0.0,-80.0,436.72
-59.26,-9.39,-80.0,436.8
-57.06,-18.54,-80.0,436.95
-53.46,-27.24,-80.0,437.12
-48.54,-35.27,-80.0,437.35
-42.43,-42.43,-80.0,437.44
-35.27,-48.54,-80.0,437.62
-27.24,-53.46,-80.0,437.77
-18.54,-57.06,-80.0,437.95
-9.39,-59.26,-80.0,438.06
0.0,-60.0,-80.0,438.09
9.39,-59.26,-80.0,438.11
18.54,-57.06,-80.0,438.04
27.24,-53.46,-80.0,437.89
35.27,-48.54,-80.0,437.74
42.43,-42.43,-80.0,437.5
48.54,-35.27,-80.0,437.31
53.46,-27.24,-80.0,437.18
57.06,-18.54,-80.0,437.02
59.26,-9.39,-80.0,436.85
71.41,0.0,-70.0,437.26
70.72,9.94,-70.0,437.25
68.64,19.68,-70.0,437.3
65.24,29.05,-70.0,437.39
60.56,37.84,-70.0,437.45
54.7,45.9,-70.0,437.53
47.78,53.07,-70.0,437.65
39.93,59.2,-70.0,437.78
31.3,64.18,-70.0,437.86
22.07,67.91,-70.0,437.93
12.4,70.33,-70.0,438.1
2.49,71.37,-70.0,438.14
-7.46,71.02,-70.0,438.1
-17.28,69.29,-70.0,437.97
-26.75,66.21,-70.0,437.95
-35.7,61.84,-70.0,437.88
-43.96,56.27,-70.0,437.67
-51.37,49.61,-70.0,437.57
-57.77,41.97,-70.0,437.46
-63.05,33.52,-70.0,437.45
-67.1,24.42,-70.0,437.31
-69.85,14.85,-70.0,437.32
-71.24,4.98,-70.0,437.31
-71.24,-4.98,-70.0,437.27
-69.85,-14.85,-70.0,437.46
-67.1,-24.42,-70.0,437.56
-63.05,-33.52,-70.0,437.74
-57.77,-41.97,-70.0,438.0
-51.37,-49.61,-70.0,438.22
-43.96,-56.27,-70.0,438.43
-35.71,-61.84,-70.0,438.63
-26.75,-66.21,-70.0,438.76
-17.28,-69.29,-70.0,438.86
-7.46,-71.02,-70.0,439.01
2.49,-71.37,-70.0,439.02
12.4,-70.33,-70.0,439.02
22.07,-67.91,-70.0,438.9
31.3,-64.18,-70.0,438.95
39.93,-59.2,-70.0,438.69
