date,temperature_c,humidity,coordinate_x,coordinate_y,coordinate_z,y_probe
2024-08-19,22.0,48.0,0.0,0.0,0.0,435.44
2024-08-19,22.0,48.0,0.0,0.0,-100.0,432.06
2024-08-19,22.0,48.0,43.59,0.0,-90.0,432.66
2024-08-19,22.0,48.0,42.47,9.81,-90.0,432.74
2024-08-19,22.0,48.0,39.18,19.11,-90.0,432.67
2024-08-19,22.0,48.0,33.88,27.43,-90.0,432.64
2024-08-19,22.0,47.0,26.84,34.35,-90.0,432.78
2024-08-19,0.0,0.0,18.42,39.51,-90.0,432.78
2024-08-19,0.0,0.0,9.06,42.64,-90.0,432.87
2024-08-19,24.0,47.0,-0.76,43.58,-90.0,432.9
2024-08-19,22.0,47.0,-10.55,42.3,-90.0,432.88
2024-08-19,22.0,47.0,-19.79,38.84,-90.0,432.82
2024-08-19,24.0,48.0,-28.02,33.39,-90.0,432.87
2024-08-19,24.0,47.0,-34.81,26.23,-90.0,432.82
2024-08-19,0.0,0.0,-39.82,17.73,-90.0,432.78
2024-08-19,0.0,0.0,-42.79,8.32,-90.0,432.79
2024-08-19,0.0,0.0,-43.56,-1.52,-90.0,432.9
2024-08-19,0.0,0.0,-42.1,-11.28,-90.0,433.01
2024-08-19,0.0,0.0,-38.49,-20.46,-90.0,433.15
2024-08-19,22.0,47.0,-32.9,-28.6,-90.0,433.32
2024-08-19,22.0,47.0,-25.62,-35.27,-90.0,433.45
2024-08-19,22.0,48.0,-17.03,-40.12,-90.0,433.62
2024-08-19,22.0,47.0,-7.57,-42.93,-90.0,433.73
2024-08-19,150.0,47.0,2.28,-43.53,-90.0,433.82
2024-08-19,22.0,46.0,12.02,-41.9,-90.0,433.75
2024-08-19,0.0,0.0,21.13,-38.12,-90.0,433.63
2024-08-19,24.0,47.0,29.17,-32.39,-90.0,433.39
2024-08-19,22.0,46.0,35.71,-25.0,-90.0,433.27
2024-08-19,0.0,0.0,40.42,-16.33,-90.0,433.04
2024-08-19,22.0,46.0,43.05,-6.82,-90.0,432.94
2024-08-19,0.0,0.0,60.0,0.0,-80.0,433.43
2024-08-19,0.0,0.0,59.26,9.39,-80.0,433.41
2024-08-19,0.0,0.0,57.06,18.54,-80.0,433.36
2024-08-19,22.0,46.0,53.46,27.24,-80.0,433.37
2024-08-19,22.0,46.0,48.54,35.27,-80.0,433.41
2024-08-19,22.0,46.0,42.43,42.43,-80.0,433.51
2024-08-19,22.0,47.0,35.27,48.54,-80.0,433.59
2024-08-19,0.0,0.0,27.24,53.46,-80.0,433.69
2024-08-19,22.0,46.0,18.54,57.06,-80.0,433.74
2024-08-19,0.0,0.0,9.39,59.26,-80.0,433.74
2024-08-19,21.0,46.0,0.0,60.0,-80.0,433.79
2024-08-19,22.0,46.0,-9.39,59.26,-80.0,433.76
2024-08-19,22.0,46.0,-18.54,57.06,-80.0,433.75
2024-08-19,22.0,46.0,-27.24,53.46,-80.0,433.77
2024-08-19,24.0,46.0,-35.27,48.54,-80.0,433.77
2024-08-19,22.0,46.0,-42.43,42.43,-80.0,433.74
2024-08-19,22.0,46.0,-48.54,35.27,-80.0,433.63
2024-08-19,22.0,46.0,-53.46,27.24,-80.0,433.58
2024-08-19,22.0,47.0,-57.06,18.54,-80.0,433.52
2024-08-19,22.0,46.0,-59.26,9.39,-80.0,433.57
2024-08-19,0.0,0.0,-60.0,0.0,-80.0,433.61
2024-08-19,22.0,46.0,-59.26,-9.39,-80.0,433.68
2024-08-19,0.0,0.0,-57.06,-18.54,-80.0,433.85
2024-08-19,21.0,47.0,-53.46,-27.24,-80.0,434.04
2024-08-19,22.0,46.0,-48.54,-35.27,-80.0,434.18
2024-08-19,22.0,46.0,-42.43,-42.43,-80.0,434.37
2024-08-19,0.0,0.0,-35.27,-48.54,-80.0,434.56
2024-08-19,0.0,0.0,-27.24,-53.46,-80.0,434.79
2024-08-19,22.0,46.0,-18.54,-57.06,-80.0,434.86
2024-08-19,22.0,45.0,-9.39,-59.26,-80.0,434.88
2024-08-19,24.0,46.0,0.0,-60.0,-80.0,434.94
2024-08-19,22.0,46.0,9.39,-59.26,-80.0,434.94
2024-08-19,0.0,0.0,18.54,-57.06,-80.0,434.83
2024-08-19,0.0,0.0,27.24,-53.46,-80.0,434.67
2024-08-19,0.0,0.0,35.27,-48.54,-80.0,434.52
2024-08-19,22.0,46.0,42.43,-42.43,-80.0,434.37
2024-08-19,22.0,46.0,48.54,-35.27,-80.0,434.19
2024-08-19,0.0,0.0,53.46,-27.24,-80.0,433.94
2024-08-19,0.0,0.0,57.06,-18.54,-80.0,433.76
2024-08-19,0.0,0.0,59.26,-9.39,-80.0,433.55
2024-08-19,0.0,0.0,71.41,0.0,-70.0,434.0
2024-08-19,22.0,46.0,70.72,9.94,-70.0,433.99
2024-08-19,22.0,45.0,68.64,19.68,-70.0,433.92
2024-08-19,22.0,46.0,65.24,29.05,-70.0,434.0
2024-08-19,22.0,46.0,60.56,37.84,-70.0,434.06
2024-08-19,0.0,0.0,54.7,45.9,-70.0,434.26
2024-08-19,24.0,46.0,47.78,53.07,-70.0,434.38
2024-08-19,0.0,0.0,39.93,59.2,-70.0,434.52
2024-08-19,0.0,0.0,31.3,64.18,-70.0,434.58
2024-08-19,22.0,46.0,22.07,67.91,-70.0,434.68
2024-08-19,22.0,46.0,12.4,70.33,-70.0,434.77
2024-08-19,22.0,46.0,2.49,71.37,-70.0,434.81
2024-08-19,22.0,46.0,-7.46,71.02,-70.0,434.81
2024-08-19,22.0,45.0,-17.28,69.29,-70.0,434.8
2024-08-19,0.0,0.0,-26.75,66.21,-70.0,434.76
2024-08-19,22.0,46.0,-35.7,61.84,-70.0,434.67
2024-08-19,23.0,45.0,-43.96,56.27,-70.0,434.58
2024-08-19,22.0,46.0,-51.37,49.61,-70.0,434.49
2024-08-19,23.0,44.0,-57.77,41.97,-70.0,434.39
2024-08-19,23.0,45.0,-63.05,33.52,-70.0,434.22
2024-08-19,0.0,0.0,-67.1,24.42,-70.0,434.11
2024-08-19,22.0,46.0,-69.85,14.85,-70.0,434.09
2024-08-19,24.0,47.0,-71.24,4.98,-70.0,434.07
2024-08-19,22.0,46.0,-71.24,-4.98,-70.0,434.19
2024-08-19,0.0,0.0,-69.85,-14.85,-70.0,434.3
2024-08-19,24.0,46.0,-67.1,-24.42,-70.0,434.43
2024-08-19,0.0,0.0,-63.05,-33.52,-70.0,434.62
2024-08-19,23.0,45.0,-57.77,-41.97,-70.0,434.77
2024-08-19,22.0,46.0,-51.37,-49.61,-70.0,434.99
2024-08-19,23.0,45.0,-43.96,-56.27,-70.0,435.23
2024-08-19,23.0,45.0,-35.71,-61.84,-70.0,435.45
2024-08-19,23.0,45.0,-26.75,-66.21,-70.0,435.58
2024-08-19,0.0,0.0,-17.28,-69.29,-70.0,435.67
2024-08-19,23.0,45.0,-7.46,-71.02,-70.0,435.78
2024-08-19,23.0,45.0,2.49,-71.37,-70.0,435.81
2024-08-19,23.0,44.0,12.4,-70.33,-70.0,435.75
2024-08-19,0.0,0.0,22.07,-67.91,-70.0,435.63
2024-08-19,0.0,0.0,31.3,-64.18,-70.0,435.61
2024-08-19,23.0,44.0,39.93,-59.2,-70.0,435.46
2024-08-19,23.0,45.0,47.78,-53.07,-70.0,435.19
2024-08-19,23.0,44.0,54.7,-45.9,-70.0,434.95
2024-08-19,23.0,45.0,60.56,-37.84,-70.0,434.75
2024-08-19,23.0,45.0,65.24,-29.05,-70.0,434.51
2024-08-19,23.0,45.0,68.64,-19.68,-70.0,434.34
2024-08-19,23.0,45.0,70.72,-9.94,-70.0,434.23
2024-08-19,0.0,0.0,80.0,0.0,-60.0,434.62
2024-08-19,23.0,45.0,79.4,9.75,-60.0,434.57
2024-08-19,23.0,45.0,77.62,19.35,-60.0,434.55
2024-08-19,23.0,44.0,74.69,28.67,-60.0,434.59
2024-08-19,23.0,45.0,70.64,37.56,-60.0,434.73
2024-08-19,0.0,0.0,65.53,45.89,-60.0,434.82
2024-08-19,0.0,0.0,59.45,53.53,-60.0,434.95
2024-08-19,23.0,45.0,52.48,60.38,-60.0,435.06
2024-08-19,23.0,44.0,44.74,66.32,-60.0,435.17
2024-08-19,23.0,44.0,36.32,71.28,-60.0,435.32
2024-08-19,25.0,45.0,27.36,75.18,-60.0,435.4
2024-08-19,0.0,0.0,18.0,77.95,-60.0,435.54
2024-08-19,0.0,0.0,8.36,79.56,-60.0,435.64
2024-08-19,23.0,45.0,-1.4,79.99,-60.0,435.59
2024-08-19,23.0,45.0,-11.13,79.22,-60.0,435.63
2024-08-19,23.0,45.0,-20.71,77.27,-60.0,435.65
2024-08-19,23.0,45.0,-29.97,74.17,-60.0,435.54
2024-08-19,23.0,45.0,-38.78,69.97,-60.0,435.4
2024-08-19,0.0,0.0,-47.02,64.72,-60.0,435.33
2024-08-19,23.0,45.0,-54.56,58.51,-60.0,435.18
2024-08-19,23.0,45.0,-61.28,51.42,-60.0,435.06
2024-08-19,23.0,45.0,-67.09,43.57,-60.0,434.88
2024-08-19,23.0,45.0,-71.9,35.07,-60.0,434.76
2024-08-19,23.0,45.0,-75.64,26.05,-60.0,434.69
2024-08-19,0.0,0.0,-78.25,16.63,-60.0,434.66
2024-08-19,23.0,45.0,-79.7,6.97,-60.0,434.63
2024-08-19,0.0,0.0,-79.95,-2.79,-60.0,434.72
2024-08-19,23.0,45.0,-79.02,-12.51,-60.0,434.73
2024-08-19,23.0,45.0,-76.9,-22.05,-60.0,434.95
2024-08-19,23.0,45.0,-73.64,-31.26,-60.0,435.04
2024-08-19,0.0,0.0,-69.28,-40.0,-60.0,435.33
2024-08-19,0.0,0.0,-63.89,-48.15,-60.0,435.53
2024-08-19,0.0,0.0,-57.55,-55.57,-60.0,435.71
2024-08-19,23.0,45.0,-50.35,-62.17,-60.0,435.88
2024-08-19,23.0,45.0,-42.39,-67.84,-60.0,436.04
2024-08-19,23.0,45.0,-33.81,-72.5,-60.0,436.18
2024-08-19,0.0,0.0,-24.72,-76.08,-60.0,436.38
2024-08-19,23.0,45.0,-15.26,-78.53,-60.0,436.53
2024-08-19,0.0,0.0,-5.58,-79.81,-60.0,436.61
2024-08-19,23.0,45.0,4.19,-79.89,-60.0,436.57
2024-08-19,0.0,0.0,13.89,-78.78,-60.0,436.51
2024-08-19,23.0,45.0,23.39,-76.5,-60.0,436.49
2024-08-19,23.0,45.0,32.54,-73.08,-60.0,436.35
2024-08-19,23.0,45.0,41.2,-68.57,-60.0,436.18
2024-08-19,0.0,0.0,49.25,-63.04,-60.0,436.01
2024-08-19,23.0,44.0,56.57,-56.57,-60.0,435.82
2024-08-19,0.0,0.0,63.04,-49.25,-60.0,435.6
2024-08-19,23.0,45.0,68.57,-41.2,-60.0,435.37
2024-08-19,23.0,45.0,73.08,-32.54,-60.0,435.17
2024-08-19,0.0,0.0,76.5,-23.39,-60.0,434.93
2024-08-19,23.0,44.0,78.78,-13.89,-60.0,434.81
2024-08-19,23.0,45.0,79.89,-4.19,-60.0,434.68
2024-08-19,24.0,45.0,86.6,0.0,-50.0,435.05
2024-08-19,0.0,0.0,86.13,9.05,-50.0,435.11
2024-08-19,0.0,0.0,84.71,18.01,-50.0,435.05
2024-08-19,23.0,45.0,82.36,26.76,-50.0,435.14
2024-08-19,23.0,45.0,79.11,35.22,-50.0,435.11
2024-08-19,24.0,44.0,75.0,43.3,-50.0,435.32
2024-08-19,23.0,45.0,70.06,50.9,-50.0,435.4
2024-08-19,24.0,45.0,64.36,57.95,-50.0,435.48
2024-08-19,0.0,0.0,57.95,64.36,-50.0,435.68
2024-08-19,0.0,0.0,50.9,70.06,-50.0,435.76
2024-08-19,23.0,45.0,43.3,75.0,-50.0,435.9
2024-08-19,23.0,45.0,35.22,79.11,-50.0,436.0
2024-08-19,24.0,45.0,26.76,82.36,-50.0,436.07
2024-08-19,24.0,45.0,18.01,84.71,-50.0,436.2
2024-08-19,0.0,0.0,9.05,86.13,-50.0,436.21
2024-08-19,24.0,45.0,0.0,86.6,-50.0,436.22
2024-08-19,24.0,44.0,-9.05,86.13,-50.0,436.31
2024-08-19,0.0,0.0,-18.01,84.71,-50.0,436.21
2024-08-19,23.0,45.0,-26.76,82.36,-50.0,436.23
2024-08-19,23.0,45.0,-35.22,79.11,-50.0,436.14
2024-08-19,24.0,45.0,-43.3,75.0,-50.0,436.1
2024-08-19,0.0,0.0,-50.9,70.06,-50.0,435.94
2024-08-19,24.0,44.0,-57.95,64.36,-50.0,435.78
2024-08-19,24.0,45.0,-64.36,57.95,-50.0,435.67
2024-08-19,24.0,44.0,-70.06,50.9,-50.0,435.55
2024-08-19,24.0,45.0,-75.0,43.3,-50.0,435.39
2024-08-19,24.0,45.0,-79.11,35.22,-50.0,435.26
2024-08-19,24.0,45.0,-82.36,26.76,-50.0,435.16
2024-08-19,0.0,0.0,-84.71,18.01,-50.0,435.05
2024-08-19,24.0,44.0,-86.13,9.05,-50.0,435.13
2024-08-19,23.0,45.0,-86.6,0.0,-50.0,435.06
2024-08-19,24.0,44.0,-86.13,-9.05,-50.0,435.23
2024-08-19,24.0,45.0,-84.71,-18.01,-50.0,435.32
2024-08-19,24.0,45.0,-82.36,-26.76,-50.0,435.37
2024-08-19,24.0,45.0,-79.11,-35.22,-50.0,435.61
2024-08-19,24.0,44.0,-75.0,-43.3,-50.0,435.74
2024-08-19,24.0,45.0,-70.06,-50.9,-50.0,435.94
2024-08-19,24.0,44.0,-64.36,-57.95,-50.0,436.18
2024-08-19,24.0,45.0,-57.95,-64.36,-50.0,436.4
2024-08-19,24.0,45.0,-50.9,-70.06,-50.0,436.47
2024-08-19,24.0,45.0,-43.3,-75.0,-50.0,436.66
2024-08-19,0.0,0.0,-35.22,-79.11,-50.0,436.87
2024-08-19,24.0,45.0,-26.76,-82.36,-50.0,437.0
2024-08-19,23.0,45.0,-18.01,-84.71,-50.0,437.02
2024-08-19,24.0,45.0,-9.05,-86.13,-50.0,437.11
2024-08-19,24.0,44.0,0.0,-86.6,-50.0,437.06
2024-08-19,24.0,44.0,9.05,-86.13,-50.0,437.13
2024-08-19,0.0,0.0,18.01,-84.71,-50.0,437.08
2024-08-19,24.0,44.0,26.76,-82.36,-50.0,437.02
2024-08-19,24.0,44.0,35.22,-79.11,-50.0,436.92
2024-08-19,24.0,45.0,43.3,-75.0,-50.0,436.72
2024-08-19,24.0,45.0,50.9,-70.06,-50.0,436.54
2024-08-19,0.0,0.0,57.95,-64.36,-50.0,436.43
2024-08-19,24.0,44.0,64.36,-57.95,-50.0,436.22
2024-08-19,0.0,0.0,70.06,-50.9,-50.0,435.94
2024-08-19,24.0,45.0,75.0,-43.3,-50.0,435.65
2024-08-19,24.0,44.0,79.11,-35.22,-50.0,435.47
2024-08-19,24.0,45.0,82.36,-26.76,-50.0,435.33
2024-08-19,0.0,0.0,84.71,-18.01,-50.0,435.22
2024-08-19,24.0,44.0,86.13,-9.05,-50.0,435.05
2024-08-19,24.0,44.0,91.65,0.0,-40.0,435.25
2024-08-19,24.0,44.0,91.15,9.58,-40.0,435.3
2024-08-19,24.0,45.0,89.65,19.06,-40.0,435.32
2024-08-19,24.0,44.0,87.16,28.32,-40.0,435.4
2024-08-19,24.0,44.0,83.73,37.28,-40.0,435.44
2024-08-19,24.0,44.0,79.37,45.82,-40.0,435.6
2024-08-19,24.0,44.0,74.15,53.87,-40.0,435.82
2024-08-19,24.0,44.0,68.11,61.33,-40.0,435.87
2024-08-19,24.0,44.0,61.33,68.11,-40.0,436.07
2024-08-19,0.0,0.0,53.87,74.15,-40.0,436.22
2024-08-19,24.0,44.0,45.83,79.37,-40.0,436.43
2024-08-19,0.0,0.0,37.28,83.73,-40.0,436.6
2024-08-19,24.0,44.0,28.32,87.16,-40.0,436.65
2024-08-19,0.0,0.0,19.06,89.65,-40.0,436.75
2024-08-19,24.0,45.0,9.58,91.15,-40.0,436.82
2024-08-19,24.0,45.0,0.0,91.65,-40.0,436.89
2024-08-19,0.0,0.0,-9.58,91.15,-40.0,436.84
2024-08-19,24.0,41.0,-19.06,89.65,-40.0,436.8
2024-08-19,25.0,43.0,-28.32,87.16,-40.0,436.79
2024-08-19,0.0,0.0,-37.28,83.73,-40.0,436.64
2024-08-19,0.0,0.0,-45.82,79.37,-40.0,436.55
2024-08-19,24.0,44.0,-53.87,74.15,-40.0,436.47
2024-08-19,24.0,44.0,-61.33,68.11,-40.0,436.23
2024-08-19,24.0,44.0,-68.11,61.33,-40.0,436.09
2024-08-19,0.0,0.0,-74.15,53.87,-40.0,435.97
2024-08-19,24.0,44.0,-79.37,45.82,-40.0,435.72
2024-08-19,24.0,44.0,-83.73,37.28,-40.0,435.67
2024-08-19,24.0,44.0,-87.16,28.32,-40.0,435.54
2024-08-19,24.0,45.0,-89.65,19.06,-40.0,435.54
2024-08-19,24.0,44.0,-91.15,9.58,-40.0,435.54
2024-08-19,24.0,44.0,-91.65,0.0,-40.0,435.49
2024-08-19,24.0,44.0,-91.15,-9.58,-40.0,435.55
2024-08-19,0.0,0.0,-89.65,-19.06,-40.0,435.61
2024-08-19,24.0,44.0,-87.16,-28.32,-40.0,435.77
2024-08-19,24.0,45.0,-83.73,-37.28,-40.0,435.87
2024-08-19,24.0,44.0,-79.37,-45.83,-40.0,436.15
2024-08-19,24.0,43.0,-74.15,-53.87,-40.0,436.36
2024-08-19,0.0,0.0,-68.11,-61.33,-40.0,436.49
2024-08-19,24.0,44.0,-61.33,-68.11,-40.0,436.76
2024-08-19,26.0,44.0,-53.87,-74.15,-40.0,436.95
2024-08-19,24.0,44.0,-45.83,-79.37,-40.0,437.11
2024-08-19,0.0,0.0,-37.28,-83.73,-40.0,437.24
2024-08-19,24.0,44.0,-28.32,-87.16,-40.0,437.46
2024-08-19,0.0,0.0,-19.06,-89.65,-40.0,437.51
2024-08-19,0.0,0.0,-9.58,-91.15,-40.0,437.5
2024-08-19,24.0,44.0,0.0,-91.65,-40.0,437.57
2024-08-19,24.0,44.0,9.58,-91.15,-40.0,437.5
2024-08-19,24.0,44.0,19.06,-89.65,-40.0,437.48
2024-08-19,0.0,0.0,28.32,-87.16,-40.0,437.39
2024-08-19,0.0,0.0,37.28,-83.73,-40.0,437.27
2024-08-19,0.0,0.0,45.83,-79.37,-40.0,437.06
2024-08-19,0.0,0.0,53.87,-74.15,-40.0,436.88
2024-08-19,24.0,44.0,61.33,-68.11,-40.0,436.74
2024-08-19,24.0,44.0,68.11,-61.33,-40.0,436.54
2024-08-19,0.0,0.0,74.15,-53.87,-40.0,436.26
2024-08-19,0.0,0.0,79.37,-45.83,-40.0,436.03
2024-08-19,0.0,0.0,83.73,-37.28,-40.0,435.89
2024-08-19,0.0,0.0,87.16,-28.32,-40.0,435.68
2024-08-19,24.0,43.0,89.65,-19.06,-40.0,435.59
2024-08-19,24.0,44.0,91.15,-9.58,-40.0,435.5
2024-08-19,24.0,44.0,95.39,0.0,-30.0,435.57
